,freelancer_ID,name,gender,age,country,language,primary_skill,years_of_experience,hourly_rate (USD),rating,is_active,client_satisfaction,exp_group,age_group
0,250001,Ms. Nicole Kidd,F,52.0,Italy,Italian,Blockchain Development,11.0,100.0,2.6,0,79.0,Junior,50s
1,250002,Vanessa Garcia,F,52.0,Australia,English,Mobile Apps,34.0,100.0,3.3,1,84.0,Veteran,50s
2,250003,Juan Nelson,M,53.0,Germany,German,Graphic Design,31.0,50.0,0.0,0,71.0,Veteran,50s
3,250004,Amanda Spencer,F,38.0,Australia,English,Web Development,4.0,40.0,1.5,0,90.0,Junior,30s
4,250005,Lynn Curtis Dds,F,53.0,Germany,German,Web Development,27.0,30.0,4.8,0,83.0,Veteran,50s
5,250006,Lisa Johnson,F,59.0,Netherlands,Dutch,Ai,14.0,30.0,2.4,0,79.0,Junior,50s
6,250007,Eric Myers,M,52.0,Indonesia,Indonesian,Data Analysis,10.0,75.0,3.1,0,94.0,Junior,50s
7,250008,Ricky Graham,M,43.0,Italy,Italian,Blockchain Development,14.0,40.0,4.6,0,94.0,Junior,40s
8,250009,Sean Martin,M,26.0,United States,English,Blockchain Development,4.0,40.0,4.0,1,76.0,Junior,20s
9,250010,Matthew Lloyd,M,52.0,Turkey,Turkish,Ai,22.0,50.0,2.6,1,79.0,Professional,50s
10,250011,Gavin Randall,M,40.0,United Kingdom,English,Data Analysis,17.0,40.0,3.6,1,77.0,Mid,40s
11,250012,Michelle Curtis,F,55.0,Argentina,Spanish,Ui/Ux Design,15.0,40.0,2.6,1,86.0,Junior,50s
12,250013,Alice Schneider,F,57.0,United Kingdom,English,Cybersecurity,18.0,40.0,2.0,0,86.0,Mid,50s
13,250014,Phillip Shelton,M,38.0,Argentina,Spanish,Graphic Design,20.0,75.0,2.9,1,93.0,Mid,30s
14,250015,Edward Ferguson,M,50.0,Germany,German,Data Analysis,22.0,75.0,3.7,1,70.0,Professional,50s
15,250016,Wyatt Stout,M,42.0,Japan,Japanese,Data Analysis,0.0,30.0,1.2,0,69.0,Beginner,40s
16,250017,Laura Johnson,F,39.0,Australia,English,Devops,13.0,30.0,2.5,0,60.0,Junior,30s
17,250018,Scott Burns,M,41.0,India,Hindi,Blockchain Development,12.0,40.0,2.6,0,87.0,Junior,40s
18,250019,Tyler Aguirre,M,56.0,United States,English,Ui/Ux Design,31.0,50.0,1.1,0,75.0,Veteran,50s
19,250020,Matthew Lawson,M,57.0,Italy,Italian,Web Development,3.0,100.0,1.8,1,68.0,Junior,50s
20,250021,James Cherry,M,41.0,Indonesia,Indonesian,Ai,9.0,50.0,1.8,0,65.0,Junior,40s
21,250022,Samuel Sanford,M,41.0,Japan,Japanese,Devops,12.0,40.0,2.4,0,69.0,Junior,40s
22,250023,Cesar Greene,M,51.0,Brazil,Portuguese,Cybersecurity,21.0,30.0,4.7,0,79.0,Professional,50s
23,250024,Melanie Carter,F,51.0,South Korea,Korean,Machine Learning,15.0,50.0,1.3,1,100.0,Junior,50s
24,250025,Jennifer Martin,F,54.0,Indonesia,Indonesian,Machine Learning,13.0,75.0,2.9,0,92.0,Junior,50s
25,250026,Anna Mccann,F,22.0,South Korea,Korean,Devops,0.0,30.0,1.2,1,70.0,Beginner,20s
26,250027,Marissa Bass,F,34.0,Japan,Japanese,Blockchain Development,8.0,20.0,0.0,1,89.0,Junior,30s
27,250028,Alexis Day,F,36.0,Russia,Russian,Graphic Design,11.0,40.0,1.8,1,86.0,Junior,30s
28,250029,Megan Jones,F,47.0,Canada,English,Ai,22.0,30.0,1.3,0,62.0,Professional,40s
29,250030,Lori Smith,F,41.0,Netherlands,Dutch,Data Analysis,14.0,75.0,1.2,0,79.0,Junior,40s
30,250031,Eric Carpenter,M,22.0,Netherlands,Dutch,Devops,4.0,40.0,1.0,1,79.0,Junior,20s
31,250032,Timothy Daniels,M,38.0,France,French,Machine Learning,19.0,100.0,4.2,0,68.0,Mid,30s
32,250033,Robert Nelson,M,46.0,Egypt,Arabic,Ai,9.0,20.0,1.4,1,76.0,Junior,40s
33,250034,Michael Anderson,M,41.0,South Korea,Korean,Ai,9.0,40.0,2.4,1,82.0,Junior,40s
34,250035,Jessica Snyder,F,54.0,United States,English,Web Development,32.0,75.0,1.0,1,81.0,Veteran,50s
35,250036,Emily Daniels,F,52.0,South Korea,Korean,Web Development,28.0,20.0,2.6,0,79.0,Veteran,50s
36,250037,Jamie Ramirez,F,42.0,Japan,Japanese,Mobile Apps,6.0,40.0,2.6,0,63.0,Junior,40s
37,250038,Amy Harrison,F,29.0,Netherlands,Dutch,Graphic Design,10.0,40.0,2.2,0,67.0,Junior,20s
38,250039,Melinda White,F,42.0,South Africa,Afrikaans,Mobile Apps,23.0,50.0,3.2,1,79.0,Professional,40s
39,250040,James Hernandez,M,60.0,Japan,Japanese,Web Development,13.0,20.0,3.6,0,80.0,Junior,50s
40,250041,Angelica Rogers,F,59.0,United Kingdom,English,Ai,3.0,50.0,0.0,0,79.0,Junior,50s
41,250042,Savannah Williams,F,21.0,Canada,English,Web Development,0.0,30.0,2.7,1,84.0,Beginner,20s
42,250043,Kaitlyn Schmidt,F,35.0,Germany,German,Devops,10.0,50.0,0.0,0,79.0,Junior,30s
43,250044,Jason Singh,M,41.0,United Kingdom,English,Data Analysis,12.0,20.0,2.8,1,63.0,Junior,40s
44,250045,Michelle Ramirez,F,51.0,Netherlands,Dutch,Machine Learning,23.0,20.0,2.5,0,80.0,Professional,50s
45,250046,James Brown,M,41.0,South Africa,Afrikaans,Web Development,9.0,75.0,4.9,1,74.0,Junior,40s
46,250047,Mrs. Samantha Simmons,F,47.0,Egypt,Arabic,Devops,15.0,30.0,4.5,1,85.0,Junior,40s
47,250048,Chase Mason,M,25.0,China,Mandarin,Graphic Design,4.0,50.0,2.7,0,77.0,Junior,20s
48,250049,Dominique Ward,F,25.0,Mexico,Spanish,Mobile Apps,7.0,20.0,1.9,0,79.0,Junior,20s
49,250050,Lance Griffin,M,29.0,Netherlands,Dutch,Ui/Ux Design,1.0,20.0,1.4,1,63.0,Beginner,20s
50,250051,Julie Burgess,F,23.0,Argentina,Spanish,Cybersecurity,0.0,75.0,1.9,1,79.0,Beginner,20s
51,250052,Don Scott,M,31.0,France,French,Data Analysis,8.0,50.0,3.4,0,79.0,Junior,30s
52,250053,Kyle Atkinson,M,51.0,Germany,German,Machine Learning,33.0,75.0,3.3,0,68.0,Veteran,50s
53,250054,Jimmy Hogan,M,26.0,Spain,Spanish,Ui/Ux Design,1.0,30.0,0.0,0,68.0,Beginner,20s
54,250055,Jennifer Mcintyre,F,29.0,Turkey,Turkish,Cybersecurity,11.0,100.0,2.3,1,72.0,Junior,20s
55,250056,Larry Simpson,M,50.0,United Kingdom,English,Ai,15.0,40.0,2.0,1,65.0,Junior,50s
56,250057,Laura Price,F,26.0,United Kingdom,English,Devops,8.0,50.0,1.3,0,76.0,Junior,20s
57,250058,Mark Wright,M,38.0,Canada,English,Ai,17.0,40.0,4.0,1,90.0,Mid,30s
58,250059,Samantha Mcdaniel,F,41.0,India,Hindi,Mobile Apps,12.0,75.0,3.6,1,65.0,Junior,40s
59,250060,Barbara Foster,F,51.0,South Africa,Afrikaans,Devops,28.0,40.0,3.9,0,63.0,Veteran,50s
60,250061,Courtney Tran,F,51.0,Indonesia,Indonesian,Ai,33.0,75.0,0.0,1,79.0,Veteran,50s
61,250062,Eddie Todd,M,47.0,Germany,German,Ai,18.0,75.0,0.0,0,79.0,Mid,40s
62,250063,Christine Johnson,F,34.0,Russia,Russian,Ui/Ux Design,16.0,20.0,2.3,1,93.0,Mid,30s
63,250064,Leah Phelps,F,58.0,Indonesia,Indonesian,Data Analysis,35.0,50.0,4.7,0,70.0,Veteran,50s
64,250065,Rebekah Williams,F,50.0,Russia,Russian,Ai,14.0,40.0,3.5,1,83.0,Junior,50s
65,250066,Crystal Wilson,F,34.0,Spain,Spanish,Web Development,12.0,40.0,2.4,1,64.0,Junior,30s
66,250067,Ashley Cordova,F,45.0,Brazil,Portuguese,Ai,11.0,75.0,4.0,0,100.0,Junior,40s
67,250068,Vicki Kelly,F,55.0,Brazil,Portuguese,Web Development,0.0,40.0,0.0,1,79.0,Beginner,50s
